
C0 = 0.4995   Ce = 0.4933   Ci = 0.5   C6 = -3.6319444444444444444444444E-4   C5 = 4.4324074074074074074E-3   C4 = -2.02606481481481481481E-2   C3 = 4.10768518518518518519E-2   C2 = -3.10854166666666666667E-2   zi = 3.0   ze = 1.0   J = 6995968
     t M                     N                     C                     k                 R
   434 1.74543054967652E+94  7.14111656260771E+93  4.956556484763258E-1  7.33393010588995  4.3718E+1          65
   435 2.87772847378149E+94  1.17227865892387E+94  4.956451158733177E-1  7.36578892903238  4.3809E+1          66
   436 4.74457214602297E+94  1.92438084105748E+94  4.95634598722782E-1   7.39786401388187  4.3899E+1          66
   437 7.82247701751942E+94  3.15897817666039E+94  4.956240971240604E-1  7.43015686366936  4.399E+1           66
   438 1.28970842483472E+95  5.18558394627678E+94  4.95613611176026E-1   7.46266899282106  4.408E+1           66
   439 2.12636971302615E+95  8.51224591815907E+94  4.956031409770858E-1  7.49540192704127  4.4171E+1          66
   440 3.50579097523875E+95  1.39728858312958E+95  4.955926866251805E-1  7.52835720339569  4.4262E+1          66
   441 5.78007215150467E+95  2.29363085430764E+95  4.955822482177856E-1  7.56153637039542  4.4352E+1          66
   442 9.5297279023672E+95   3.7649256457894E+95   4.955718258519126E-1  7.59494098808147  4.4443E+1          66
   443 1.57118650966173E+96  6.17994716294377E+95  4.955614196241097E-1  7.6285726281098   4.4533E+1          66
   444 2.59044861871639E+96  1.01439851369506E+96  4.955510296304622E-1  7.66243287383706  4.4624E+1          66
   445 4.27092773833348E+96  1.66505252215423E+96  4.955406559665943E-1  7.69652332040682  4.4714E+1          67
   446 7.0415694078136E+96   2.73301974058891E+96  4.955302987276692E-1  7.73084557483644  4.4806E+1          66
   447 1.16095852617736E+97  4.48593632820672E+96  4.955199580083902E-1  7.7654012561045   4.4896E+1          66
   448 1.91409701650928E+97  7.3630704179254E+96   4.955096339030017E-1  7.80019199523887  4.4986E+1          66
   449 3.1558124653025E+97   1.2085380334261E+97   4.9549932650529E-1    7.8352194354053   4.5077E+1          67
   450 5.20305513788485E+97  1.98361424263453E+97  4.954890359085842E-1  7.87048523199676  4.5167E+1          73
   451 8.57838767845635E+97  3.25573949272756E+97  4.954787622057568E-1  7.90599105272319  4.5258E+1          70
   452 1.41433702337829E+98  5.34364525169968E+97  4.954685054892249E-1  7.94173857770205  4.5348E+1          66
   453 2.33184753438249E+98  8.77043510128104E+97  4.95458265850951E-1   7.97772949954936  4.5438E+1          67
   454 3.84456662996605E+98  1.43946203800357E+98  4.954480433824438E-1  8.0139655234714   4.5529E+1          66
   455 6.33861877944894E+98  2.36251653441531E+98  4.95437838174759E-1   8.05044836735706  4.5619E+1          67
   456 1.04506156085368E+99  3.87743984423975E+98  4.954276503185005E-1  8.08717976187075  4.5709E+1          66
   457 1.72301522457053E+99  6.36371702780926E+98  4.954174799038206E-1  8.124161450546    4.58E+1            67
   458 2.84077185048959E+99  1.0444129244711E+99   4.954073270204216E-1  8.16139518987965  4.589E+1           66
   459 4.68364097510836E+99  1.71407258726249E+99  4.953971917575561E-1  8.19888274942672  4.598E+1           67
   460 7.72201849998384E+99  2.81307805759915E+99  4.953870742040285E-1  8.23662591189587  4.607E+1           66
   461 1.2731456153663E+100  4.61668205802647E+99  4.95376974448195E-1   8.27462647324555  4.616E+1           67
   462 2.099062256753E+100   7.57658966562338E+99  4.953668925779652E-1  8.31288624278074  4.6251E+1          66
   463 3.4607685912326E+100  1.2434066712081E+100  4.953568286808026E-1  8.35140704325042  4.6341E+1          67
   464 5.705842789336E+100   2.0405547508034E+100  4.953467828437257E-1  8.39019071094563  4.6431E+1          67
   465 9.4073443740494E+100  3.3487208918792E+100  4.953367551533083E-1  8.4292390957982   4.6521E+1          66
   466 1.5510088770296E+101  5.4954758030459E+100  4.953267456956813E-1  8.46855406148015  4.6611E+1          67
   467 2.5571813266035E+101  9.0183545444708E+100  4.953167545565326E-1  8.5081374855038   4.6701E+1          67
   468 4.2160792462083E+101  1.4799429516408E+101  4.953067818211085E-1  8.54799125932243  4.6791E+1          66
   469 6.951139532181E+101   2.428613008885E+101   4.952968275742147E-1  8.58811728843177  4.6882E+1          67
   470 1.1460491602311E+102  3.9853580032466E+101  4.952868919002164E-1  8.62851749247204  4.6972E+1          67
   471 1.8895156277411E+102  6.5399142169633E+101  4.9527697488304E-1    8.66919380533069  4.7062E+1          67
   472 3.115284606777E+102   1.0731797281932E+102  4.952670766061736E-1  8.71014817524594  4.7152E+1          67
   473 5.136235995478E+102   1.7610373790984E+102  4.952571971526676E-1  8.75138256491082  4.7242E+1          67
   474 8.4682215370803E+102  2.8897508572283E+102  4.95247336605136E-1   8.79289895157808  4.7332E+1          66
   475 1.3961736973185E+103  4.7418515067138E+102  4.952374950457572E-1  8.83469932716565  4.7422E+1          67
   476 2.301901272361E+103   7.7809249778499E+102  4.952276725562743E-1  8.87678569836293  4.7512E+1          67
   477 3.7951935907934E+103  1.2767628697523E+103  4.952178692179968E-1  8.91916008673767  4.7602E+1          67
   478 6.2572163995659E+103  2.0950047254668E+103  4.952080851118007E-1  8.96182452884363  4.7691E+1          67
   479 1.0316405773338E+104  3.4376014534975E+103  4.951983203181298E-1  9.0047810763289   4.7781E+1          67
   480 1.7008877635676E+104  5.6405545658202E+103  4.951885749169963E-1  9.04803179604504  4.7871E+1          67
   481 2.8042898348674E+104  9.2551584221013E+103  4.95178848987982E-1   9.09157877015673  4.7961E+1          67
   482 4.6234922999541E+104  1.5185940337298E+104  4.951691426102388E-1  9.1354240962524   4.8051E+1          67
   483 7.6228500998526E+104  2.4916974635564E+104  4.951594558624894E-1  9.17956988745539  4.8141E+1          67
   484 1.2567955102986E+105  4.0883185559129E+104  4.951497888230287E-1  9.22401827253592  4.8231E+1          67
   485 2.0721054907497E+105  6.7079520837291E+104  4.951401415697243E-1  9.26877139602377  4.832E+1           67
   486 3.4163243977335E+105  1.1006037536232E+105  4.951305141800173E-1  9.31383141832175  4.841E+1           68
   487 5.632566702155E+105   1.8057925233558E+105  4.951209067309234E-1  9.35920051581983  4.85E+1            67
   488 9.2865325304802E+105  2.9627877687652E+105  4.951113192990333E-1  9.40488088101009  4.859E+1           67
   489 1.5310903714051E+106  4.8610386703652E+105  4.951017519605141E-1  9.45087472260236  4.868E+1           68
   490 2.5243412626998E+106  7.9754180695118E+105  4.950922047911097E-1  9.49718426564064  4.8769E+1          67
   491 4.1619351343192E+106  1.3084999119957E+106  4.95082677866142E-1   9.54381175162029  4.8859E+1          67
   492 6.8618709832263E+106  2.1467911895265E+106  4.950731712605112E-1  9.59075943860596  4.8949E+1          68
   493 1.1313312646845E+107  3.5221008427386E+106  4.950636850486973E-1  9.63802960135029  4.9038E+1          67
   494 1.8652499202934E+107  5.7784272867413E+106  4.950542193047605E-1  9.6856245314134   4.9128E+1          67
   495 3.0752772187595E+107  9.4801107807519E+106  4.950447741023422E-1  9.73354653728308  4.9218E+1          68
   496 5.0702749638683E+107  1.5552960688193E+107  4.950353495146658E-1  9.78179794449588  4.9307E+1          67
   497 8.359470181228E+107   2.5515768157217E+107  4.950259456145376E-1  9.83038109575883  4.9397E+1          68
   498 1.3782436299574E+108  4.1860088356805E+107  4.950165624743474E-1  9.8792983510721   4.9487E+1          67
   499 2.2723395889177E+108  6.8673244011636E+107  4.950072001660697E-1  9.92855208785232  4.9576E+1          68
   500 3.7464546145027E+108  1.126603053707E+108   4.949978587612643E-1  9.97814470105676  4.9666E+1          67
   501 6.1768594126432E+108  1.84820538931E+108    4.949885383310771E-1  1.00280786033E+1  4.9754E+1          68
   502 1.0183919499749E+109  3.0319741693267E+108  4.949792389462412E-1  1.0078356225E+1   4.9844E+1          67
   503 1.6790444698334E+109  4.9738963109288E+108  4.949699606770774E-1  1.01289800145E+1  4.9934E+1          68
   504 2.7682763318658E+109  8.1595072511805E+108  4.949607035934951E-1  1.01799524382E+1  5.0023E+1          67
   505 4.5641160715228E+109  1.3385269571229E+109  4.949514677649936E-1  1.02312759806E+1  5.0113E+1          68
   506 7.524955249064E+109   2.1957672572073E+109  4.94942253260662E-1   1.02829531446E+1  5.0202E+1          68
   507 1.2406553780198E+110  3.6019815996225E+109  4.949330601491812E-1  1.03349864514E+1  5.0292E+1          68
   508 2.0454949113498E+110  5.9087101604492E+109  4.949238884988235E-1  1.0387378441E+1   5.0381E+1          68
   509 3.3724509694513E+110  9.6925914094759E+109  4.949147383774546E-1  1.04401316718E+1  5.047E+1           68
   510 5.5602316477277E+110  1.5899488556051E+110  4.949056098525334E-1  1.04932487212E+1  5.056E+1           68
   511 9.1672721876286E+110  2.6080892161821E+110  4.948965029911135E-1  1.05467321855E+1  5.0649E+1          69
   512 1.5114276650041E+111  4.2781674768813E+110  4.94887417859844E-1   1.06005846803E+1  5.0739E+1          68
   513 2.4919229404169E+111  7.0176091961338E+110  4.948783545249699E-1  1.065480884E+1    5.0828E+1          68
   514 4.1084863568109E+111  1.1511095175336E+111  4.948693130523331E-1  1.07094073189E+1  5.0917E+1          68
   515 6.7737488468555E+111  1.88816606589E+111    4.948602935073737E-1  1.07643827902E+1  5.1007E+1          68
   516 1.1168023806191E+112  3.0971327395502E+111  4.9485129595513E-1    1.08197379473E+1  5.1096E+1          69
   517 1.8412958400953E+112  5.080138433813E+111   4.948423204602401E-1  1.0875475503E+1   5.1185E+1          69
   518 3.0357836172167E+112  8.3327313717587E+111  4.948333670869421E-1  1.09315981903E+1  5.1274E+1          68
   519 5.0051610229482E+112  1.3667696674353E+112  4.948244358990754E-1  1.09881087619E+1  5.1363E+1          69
   520 8.2521154418139E+112  2.2418131298583E+112  4.948155269600812E-1  1.1045009991E+1   5.1452E+1          69
   521 1.3605438257192E+113  3.677050719385E+112   4.948066403330034E-1  1.1102304671E+1   5.1542E+1          69
   522 2.2431575451829E+113  6.0310923350138E+112  4.947977760804897E-1  1.1159995616E+1   5.1631E+1          69
   523 3.6983415582745E+113  9.8920998077933E+112  4.947889342647918E-1  1.12180856603E+1  5.172E+1           69
   524 6.0975343934415E+113  1.6224718346248E+113  4.947801149477671E-1  1.12765776592E+1  5.1809E+1          70
   525 1.0053134653293E+114  2.661105040983E+113   4.947713181908786E-1  1.13354744891E+1  5.1899E+1          69
   526 1.6574816940096E+114  4.3645859795952E+113  4.947625440551963E-1  1.13947790472E+1  5.1988E+1          70
   527 2.7327253247097E+114  7.1584712150428E+113  4.947537926013978E-1  1.1454494252E+1   5.2077E+1          70
   528 4.5055023698298E+114  1.1740692582701E+114  4.947450638897693E-1  1.15146230434E+1  5.2166E+1          69
   529 7.4283175923282E+114  1.9255879710269E+114  4.947363579802062E-1  1.15751683826E+1  5.2254E+1          71
   530 1.2247225219988E+115  3.1581244190435E+114  4.947276749322139E-1  1.16361332527E+1  5.2344E+1          69
   531 2.0192260727249E+115  5.1795417831461E+114  4.94719014804909E-1   1.16975206584E+1  5.2433E+1          70
   532 3.3291409764537E+115  8.4947321536514E+114  4.947103776570196E-1  1.17593336267E+1  5.2522E+1          70
   533 5.4888255410387E+115  1.3931705722048E+115  4.947017635468864E-1  1.18215752062E+1  5.2611E+1          70
   534 9.0495434206726E+115  2.2848366614643E+115  4.946931725324634E-1  1.18842484682E+1  5.27E+1            70
   535 1.4920174727787E+116  3.7471605289673E+115  4.946846046713189E-1  1.19473565061E+1  5.2789E+1          70
   536 2.4599209436266E+116  6.1453372662097E+115  4.946760600206362E-1  1.20109024362E+1  5.2878E+1          71
   537 4.0557239839978E+116  1.007825727096E+116   4.946675386372142E-1  1.20748893972E+1  5.2967E+1          70
   538 6.6867584005059E+116  1.6528044080897E+116  4.946590405774686E-1  1.21393205509E+1  5.3056E+1          71
