
C0 = 0.4995   Ce = 0.4933   Ci = 0.5   C6 = -3.6319444444444444444444444E-4   C5 = 4.4324074074074074074E-3   C4 = -2.02606481481481481481E-2   C3 = 4.10768518518518518519E-2   C2 = -3.10854166666666666667E-2   zi = 3.0   ze = 1.0   J = 6995968
     t M                     N                     C                     k                 R
   125 1.39124981295083E+27  1.27845773470403E+27  4.989538271278455E-1  3.26527233984346  1.4274E+1          57
   126 2.2937831594696E+27   2.10564018263171E+27  4.989459558544802E-1  3.26865334916561  1.4378E+1          57
   127 3.78180908539129E+27  3.46799543192907E+27  4.989380423213403E-1  3.27206368532399  1.448E+1           57
   128 6.23514908081162E+27  5.71175311949136E+27  4.989300868176313E-1  3.27550357073647  1.4582E+1          57
   129 1.02800229155205E+28  9.4071241157229E+27   4.989220896317877E-1  3.27897322824358  1.4684E+1          57
   130 1.69488924441033E+28  1.54931896914546E+28  4.98914051051474E-1   3.28247288112204  1.4787E+1          58
   131 2.79439994874019E+28  2.55165116606397E+28  4.989059713635865E-1  3.28600275309835  1.4889E+1          57
   132 4.60718663433129E+28  4.20240832302E+28     4.98897850854253E-1   3.28956306836245  1.4991E+1          58
   133 7.59596660210733E+28  6.92104476171817E+28  4.988896898088355E-1  3.29315405158138  1.5092E+1          57
   134 1.25236317084221E+29  1.13983375728689E+29  4.988814885119301E-1  3.29677592791302  1.5194E+1          58
   135 2.06479779840902E+29  1.8771881371576E+29   4.988732472473686E-1  3.30042892301987  1.5297E+1          57
   136 3.40427604993174E+29  3.09150888646396E+29  4.988649662982194E-1  3.3041132630829   1.5398E+1          58
   137 5.61270233485747E+29  5.09131059814853E+29  4.988566459467887E-1  3.30782917481544  1.55E+1            58
   138 9.25378172558779E+29  8.38465240216657E+29  4.988482864746216E-1  3.31157688547704  1.5601E+1          58
   139 1.52569067653927E+30  1.38081944635205E+30  4.98839888162503E-1   3.31535662288754  1.5703E+1          57
   140 2.51543867091917E+30  2.27397177783751E+30  4.988314512904588E-1  3.31916861544106  1.5804E+1          58
   141 4.14725724188609E+30  3.744808151298E+30    4.98822976137757E-1   3.32301309212008  1.5906E+1          58
   142 6.83767122976274E+30  6.16694943227475E+30  4.988144629829089E-1  3.32689028250954  1.6007E+1          57
   143 1.12734139985641E+31  1.01556446313896E+31  4.988059121036695E-1  3.3308004168111   1.6108E+1          58
   144 1.85867174528413E+31  1.67240278381469E+31  4.987973237770398E-1  3.33474372585726  1.6209E+1          57
   145 3.06443164169927E+31  2.7540418146186E+31   4.987886982792666E-1  3.33872044112573  1.631E+1           58
   146 5.0523936302761E+31   4.53519978799538E+31  4.987800358858443E-1  3.34273079475372  1.6411E+1          58
   147 8.32998884618605E+31  7.46824483641236E+31  4.98771336871516E-1   3.34677501955232  1.6512E+1          57
   148 1.37338297954018E+32  1.22980678506685E+32  4.987626015102743E-1  3.35085334902093  1.6613E+1          58
   149 2.2643257311854E+32   2.02512306716873E+32  4.987538300753624E-1  3.35496601736175  1.6714E+1          57
   150 3.733241996799E+32    3.33474122819215E+32  4.98745022839275E-1   3.35911325949434  1.6814E+1          58
   151 6.15507548879353E+32  5.49122228422026E+32  4.987361800737602E-1  3.36329531107013  1.6916E+1          58
   152 1.01480038811389E+33  9.04215737393138E+32  4.987273020498194E-1  3.36751240848715  1.7016E+1          57
   153 1.67312298539811E+33  1.4889195591936E+33   4.987183890377092E-1  3.37176478890466  1.7117E+1          58
   154 2.75851345452317E+33  2.45169550066113E+33  4.987094413069422E-1  3.37605269025789  1.7217E+1          58
   155 4.54801980798484E+33  4.03699239558187E+33  4.98700459126288E-1   3.38037635127289  1.7318E+1          58
   156 7.49841699699012E+33  6.64730221390032E+33  4.986914427637746E-1  3.38473601148134  1.7418E+1          58
   157 1.2362799599517E+34   1.09453333614395E+34  4.986823924866888E-1  3.38913191123544  1.7518E+1          58
   158 2.03828106651267E+34  1.80222340179287E+34  4.98673308561578E-1   3.3935642917229   1.7618E+1          58
   159 3.36055735002478E+34  2.96745610396003E+34  4.986641912542508E-1  3.39803339498197  1.7719E+1          58
   160 5.54062238439351E+34  4.88602871566075E+34  4.986550408297783E-1  3.40253946391642  1.7819E+1          58
   161 9.13494197806684E+34  8.0449573365715E+34   4.98645857552495E-1   3.40708274231077  1.7919E+1          59
   162 1.50609731458503E+35  1.32460832446387E+35  4.98636641686E-1      3.41166347484539  1.8019E+1          58
   163 2.48313467830068E+35  2.1809575122315E+35   4.986273934931578E-1  3.4162819071118   1.8118E+1          59
   164 4.09399696212745E+35  3.59089665504501E+35  4.986181132360999E-1  3.42093828562791  1.8218E+1          58
   165 6.74985987364124E+35  5.91227423648867E+35  4.986088011762254E-1  3.42563285785338  1.8318E+1          58
   166 1.11286375479176E+36  9.73424298492305E+35  4.985994575742019E-1  3.43036587220504  1.8418E+1          58
   167 1.83480214391639E+36  1.60267598909182E+36  4.985900826899673E-1  3.43513757807235  1.8518E+1          59
   168 3.02507732220114E+36  2.63867073040305E+36  4.9858067678273E-1    3.43994822583295  1.8617E+1          58
   169 4.9875093266256E+36   4.34430768944537E+36  4.985712401109707E-1  3.44479806686817  1.8717E+1          58
   170 8.22301271462291E+36  7.15240089880246E+36  4.985617729324429E-1  3.44968735357877  1.8816E+1          58
   171 1.35574559718364E+37  1.17754904028115E+37  4.985522755041742E-1  3.45461633940055  1.8916E+1          58
   172 2.23524660373472E+37  1.93866167595092E+37  4.985427480824675E-1  3.45958527882019  1.9014E+1          59
   173 3.68529862083765E+37  3.19169147041179E+37  4.985331909229016E-1  3.46459442739103  1.9114E+1          58
   174 6.07603022505687E+37  5.25455114473149E+37  4.985236042803329E-1  3.46964404174897  1.9213E+1          59
   175 1.00176802734682E+38  8.65059886875098E+37  4.985139884088958E-1  3.47473437962842  1.9312E+1          58
   176 1.651636254994E+38    1.42413953194418E+38  4.985043435620041E-1  3.47986569987833  1.9411E+1          59
   177 2.72308782506811E+38  2.34452417169907E+38  4.984946699923523E-1  3.48503826247823  1.9511E+1          59
   178 4.48961281917435E+38  3.85969226567711E+38  4.984849679519159E-1  3.4902523285544   1.961E+1           58
   179 7.40212015218071E+38  6.35398850367523E+38  4.984752376919533E-1  3.49550816039608  1.9709E+1          59
   180 1.22040329431784E+39  1.04601024373755E+39  4.984654794630062E-1  3.5008060214717   1.9808E+1          58
   181 2.01210487017433E+39  1.72195265499226E+39  4.984556935149011E-1  3.50614617644528  1.9907E+1          58
   182 3.31740009833574E+39  2.83466811614803E+39  4.984458800967501E-1  3.51152889119277  2.0006E+1          59
   183 5.46946810554884E+39  4.66636776408212E+39  4.98436039456952E-1   3.5169544328186   2.0104E+1          59
   184 9.0176284050343E+39   7.6815953866251E+39   4.984261718431934E-1  3.52242306967212  2.0202E+1          59
   185 1.48675557626497E+40  1.2645022335786E+40   4.984162775024495E-1  3.5279350713643   2.0301E+1          59
   186 2.45124554292009E+40  2.08153381613805E+40  4.984063566809857E-1  3.53349070878437  2.04E+1            59
   187 4.04142066632123E+40  3.4264391699392E+40   4.983964096243582E-1  3.53909025411656  2.0499E+1          59
   188 6.6631762164109E+40   5.64024872024717E+40  4.983864365774149E-1  3.54473398085694  2.0597E+1          59
   189 1.09857203584198E+41  9.28429963405355E+40  4.983764377842969E-1  3.5504221638303   2.0696E+1          59
   190 1.81123908288902E+41  1.52825453171621E+41  4.983664134884395E-1  3.55615507920715  2.0793E+1          59
   191 2.98622840228253E+41  2.51557851700135E+41  4.983563639325727E-1  3.56193300452067  2.0892E+1          59
   192 4.92345828601206E+41  4.14071835944428E+41  4.98346289358723E-1   3.56775621868392  2.099E+1           60
   193 8.11741040155288E+41  6.81567896203293E+41  4.983361900082138E-1  3.57362500200698  2.1089E+1          59
   194 1.33833471920427E+42  1.12185871952245E+42  4.983260661216668E-1  3.57953963621421  2.1187E+1          59
   195 2.20654091886856E+42  1.84655738035599E+42  4.98315917939003E-1   3.5855004044616   2.1284E+1          59
   196 3.6379709476088E+42   3.03936623531252E+42  4.983057456994436E-1  3.59150759135417  2.1383E+1          60
   197 5.99800008351174E+42  5.00263524251749E+42  4.982955496415113E-1  3.59756148296348  2.1481E+1          59
   198 9.88903031934695E+42  8.23398759872965E+42  4.98285330003031E-1   3.60366236684522  2.1579E+1          60
   199 1.63042546341058E+43  1.35524288262176E+43  4.98275087021131E-1   3.60981053205679  2.1677E+1          59
   200 2.68811714181614E+43  2.23058926607285E+43  4.982648209322442E-1  3.61600626917511  2.1774E+1          60
   201 4.4319559098459E+43   3.67128091845225E+43  4.982545319721088E-1  3.6222498703144   2.1872E+1          60
   202 7.30705997936807E+43  6.04242338509732E+43  4.982442203757698E-1  3.62854162914408  2.197E+1           59
   203 1.20473052142658E+44  9.94489505420537E+43  4.982338863775794E-1  3.63488184090674  2.2068E+1          60
   204 1.98626483613765E+44  1.63675909711125E+44  4.982235302111987E-1  3.64127080243618  2.2166E+1          60
   205 3.27479708458386E+44  2.69379671923989E+44  4.982131521095982E-1  3.64770881217564  2.2263E+1          59
   206 5.39922761058017E+44  4.43343518613742E+44  4.982027523050592E-1  3.65419617019592  2.2361E+1          60
   207 8.90182140691495E+44  7.29644622947105E+44  4.981923310291746E-1  3.66073317821379  2.2459E+1          60
   208 1.46766223015544E+45  1.20081990460358E+45  4.981818885128502E-1  3.66732013961035  2.2557E+1          59
   209 2.41976593706046E+45  1.97624065763665E+45  4.981714249863053E-1  3.67395735944952  2.2653E+1          60
   210 3.98951957054722E+45  3.25234967657858E+45  4.981609406790742E-1  3.68064514449665  2.2751E+1          60
   211 6.57760577583564E+45  5.35241867536802E+45  4.981504358200069E-1  3.68738380323718  2.2848E+1          59
   212 1.08446385529002E+46  8.80842691269459E+45  4.981399106372703E-1  3.6941736458954   2.2946E+1          60
   213 1.78797862552213E+46  1.4495795625003E+46   4.981293653583492E-1  3.70101498445331  2.3043E+1          60
   214 2.9478783914555E+46   2.3855096353725E+46   4.981188002100473E-1  3.70790813266958  2.314E+1           60
   215 4.86022980742998E+46  3.92568727214428E+46  4.98108215418488E-1   3.71485340609857  2.3238E+1          60
   216 8.01316426400059E+46  6.46019494060754E+46  4.980976112091162E-1  3.72185112210948  2.3334E+1          60
   217 1.32114743676719E+47  1.06309221275565E+47  4.980869878066982E-1  3.7289015999056   2.3431E+1          60
   218 2.17820388072902E+47  1.74941011161877E+47  4.980763454353236E-1  3.73600516054364  2.3529E+1          60
   219 3.5912510700795E+47   2.87877486172788E+47  4.98065684318406E-1   3.74316212695311  2.3626E+1          60
   220 5.92097202766467E+47  4.73717181310796E+47  4.980550046786843E-1  3.7503728239559   2.3722E+1          60
   221 9.7620325252312E+47   7.79517606829358E+47  4.98044306738223E-1   3.75763757828591  2.3819E+1          60
   222 1.60948706696152E+48  1.28270879099173E+48  4.98033590718414E-1   3.76495671860874  2.3917E+1          60
   223 2.65359556221622E+48  2.11069535934968E+48  4.980228568399773E-1  3.77233057554155  2.4013E+1          60
   224 4.37503944726134E+48  3.47310868174062E+48  4.98012105322962E-1   3.77975948167299  2.411E+1           60
   225 7.2132205968519E+48   5.7148721435512E+48   4.980013363867476E-1  3.78724377158322  2.4207E+1          60
   226 1.1892590228282E+49   9.4035098230145E+48   4.979905502500445E-1  3.7947837818641   2.4303E+1          60
   227 1.9607566473089E+49   1.54727945245143E+49  4.979797471308954E-1  3.80237985113938  2.44E+1            61
   228 3.23274119108486E+49  2.54590877663889E+49  4.979689272466762E-1  3.81003232008509  2.4497E+1          60
   229 5.32988916441008E+49  4.18901789222734E+49  4.979580908140973E-1  3.81774153145002  2.4593E+1          60
   230 8.78750163583702E+49  6.89250170779665E+49  4.97947238049204E-1   3.82550783007625  2.469E+1           60
   231 1.44881408633167E+50  1.13406208863422E+50  4.979363691673781E-1  3.83333156291989  2.4787E+1          61
   232 2.38869060142499E+50  1.86591586906884E+50  4.979254843833388E-1  3.84121307907182  2.4882E+1          61
   233 3.93828500369087E+50  3.07002953271574E+50  4.979145839111432E-1  3.84915272977866  2.4979E+1          61
   234 6.49313425566446E+50  5.0511272621339E+50   4.979036679641883E-1  3.85715086846374  2.5076E+1          61
   235 1.07053685608256E+51  8.31054152004604E+50  4.97892736755211E-1   3.8652078507483   2.5172E+1          61
   236 1.76501688569177E+51  1.36730557842405E+51  4.978817904962897E-1  3.87332403447267  2.5268E+1          61
   237 2.91002088258491E+51  2.24955745776539E+51  4.978708293988453E-1  3.88149977971773  2.5364E+1          60
   238 4.7978133272993E+51   3.70104044533157E+51  4.978598536736419E-1  3.88973544882632  2.546E+1           61
   239 7.91025688556692E+51  6.08899758535362E+51  4.97848863530788E-1   3.89803140642491  2.5557E+1          61
   240 1.30418087839363E+52  1.00175840783345E+52  4.978378591797378E-1  3.90638801944533  2.5652E+1          61
   241 2.15023075504796E+52  1.648069066965E+52    4.978268408292914E-1  3.91480565714658  2.5749E+1          62
   242 3.54513118276117E+52  2.71133407068938E+52  4.978158086875969E-1  3.92328469113687  2.5844E+1          60
   243 5.84493318844064E+52  4.46052379401747E+52  4.978047629621503E-1  3.93182549539567  2.5941E+1          61
   244 9.6366656736032E+52   7.33810444743865E+52  4.977937038597974E-1  3.94042844629599  2.6037E+1          60
   245 1.58881756746954E+53  1.2071941204997E+53   4.977826315867344E-1  3.94909392262669  2.6133E+1          61
   246 2.61951731874906E+53  1.98593725235349E+53  4.977715463485089E-1  3.95782230561501  2.6229E+1          61
   247 4.31885392238895E+53  3.26699986031107E+53  4.977604483500209E-1  3.96661397894916  2.6324E+1          61
   248 7.12058632688934E+53  5.37437401344494E+53  4.97749337795524E-1   3.97546932880105  2.642E+1           60
   249 1.17398621369989E+54  8.84100892519402E+53  4.977382148886262E-1  3.98438874384921  2.6517E+1          61
   250 1.93557604203572E+54  1.45435670630366E+54  4.977270798322909E-1  3.99337261530179  2.6612E+1          60
   251 3.19122539156186E+54  2.3924077904894E+54   4.977159328288382E-1  4.00242133691966  2.6708E+1          62
   252 5.26144118266639E+54  3.93545212999393E+54  4.977047740799455E-1  4.01153530503979  2.6803E+1          61
   253 8.6746499923997E+54   6.47364993774237E+54  4.976936037866487E-1  4.02071491859855  2.6899E+1          60
   254 1.43020799583481E+55  1.0648757434108E+55   4.976824221493433E-1  4.02996057915539  2.6994E+1          61
   255 2.35801434425825E+55  1.75163574372593E+55  4.976712293677852E-1  4.03927269091642  2.709E+1           61
   256 3.8877084059946E+55   2.88126895268028E+55  4.976600256410918E-1  4.04865166075838  2.7186E+1          61
   257 6.40974754324298E+55  4.73935163028196E+55  4.97648811167743E-1   4.05809789825249  2.7281E+1          61
   258 1.05678871143626E+56  7.79559361454466E+55  4.976375861455822E-1  4.06761181568868  2.7377E+1          61
   259 1.74235002718074E+56  1.28225550732709E+56  4.976263507718171E-1  4.07719382809982  2.7472E+1          61
   260 2.87264955081783E+56  2.10908980765521E+56  4.976151052430213E-1  4.08684435328613  2.7568E+1          61
   261 4.73619841770053E+56  3.46905101464855E+56  4.976038497551345E-1  4.09656381183978  2.7662E+1          62
   262 7.80867107351915E+56  5.7058639134438E+56   4.97592584503464E-1   4.10635262716958  2.7758E+1          61
   263 1.28743220948118E+57  9.38484788007156E+56  4.975813096826856E-1  4.11621122552585  2.7853E+1          61
   264 2.12261686835609E+57  1.5435765304775E+57   4.975700254868445E-1  4.12614003602545  2.7949E+1          61
   265 3.49960358040558E+57  2.53877488200011E+57  4.975587321093563E-1  4.13613949067698  2.8043E+1          61
   266 5.769870862033E+57    4.17556561079687E+57  4.975474297430084E-1  4.14621002440604  2.8139E+1          61
   267 9.5129088194267E+57   6.86754510813033E+57  4.975361185799602E-1  4.15635207508078  2.8233E+1          62
   268 1.56841351168196E+58  1.12949110383369E+58  4.975247988117447E-1  4.16656608353752  2.8329E+1          61
   269 2.58587671796354E+58  1.85762988982479E+58  4.975134706292694E-1  4.17685249360656  2.8424E+1          61
   270 4.26338994831472E+58  3.05513667906709E+58  4.975021342228173E-1  4.18721175213812  2.8519E+1          62
   271 7.0291416930756E+58   5.02455000481511E+58  4.974907897820475E-1  4.1976443090285   2.8614E+1          61
   272 1.15890954241389E+59  8.26339993418573E+58  4.974794374959967E-1  4.20815061724638  2.8709E+1          62
   273 1.91071881339513E+59  1.35898743020972E+59  4.974680775530801E-1  4.2187311328592   2.8803E+1          61
   274 3.15024274997145E+59  2.23494670718923E+59  4.97456710141092E-1   4.2293863150599   2.8899E+1          62
   275 5.1938722297468E+59   3.67547916299365E+59  4.974453354472073E-1  4.24011662619359  2.8993E+1          61
   276 8.56324762248225E+59  6.04443645797905E+59  4.97433953657982E-1   4.25092253178462  2.9089E+1          62
   277 1.41184085014588E+60  9.9401450772978E+59   4.974225649593547E-1  4.26180450056363  2.9183E+1          62
   278 2.32773204047886E+60  1.63464963477698E+60  4.974111695366471E-1  4.27276300449491  2.9278E+1          61
   279 3.83778132762771E+60  2.68813880256896E+60  4.973997675745655E-1  4.28379851880385  2.9372E+1          62
   280 6.32743170715559E+60  4.42052391468017E+60  4.97388359257201E-1   4.2949115220046   2.9468E+1          62
   281 1.04321712444898E+61  7.26927071563573E+60  4.973769447680316E-1  4.30610249592793  2.9562E+1          62
   282 1.71997426303766E+61  1.19537173414237E+61  4.973655242899219E-1  4.3173719257492   2.9657E+1          62
   283 2.83575815252697E+61  1.965667966894E+61    4.973540980051252E-1  4.3287203000166   2.9751E+1          62
   284 4.67537478463252E+61  3.23230530127104E+61  4.973426660952839E-1  4.3401481106795   2.9846E+1          61
   285 7.70838985591866E+61  5.31507775632972E+61  4.973312287414304E-1  4.35165585311699  2.994E+1           62
   286 1.27089863183022E+62  8.73980819395811E+61  4.973197861239886E-1  4.36324402616669  3.0034E+1          62
   287 2.09535760720217E+62  1.4371073479978E+62   4.973083384227743E-1  4.3749131321536   3.0129E+1          62
   288 3.45466065671755E+62  2.36304256885106E+62  4.972968858169966E-1  4.38666367691933  3.0223E+1          62
   289 5.69577250778109E+62  3.88551782312797E+62  4.972854284852586E-1  4.39849616985127  3.0318E+1          61
   290 9.3907412866477E+62   6.38882935694203E+62  4.972739666055584E-1  4.41041112391224  3.0412E+1          62
   291 1.54827149069379E+63  1.05048218676179E+63  4.972625003552905E-1  4.42240905567008  3.0507E+1          62
   292 2.55266813952546E+63  1.72723374951918E+63  4.972510299112462E-1  4.43449048532761  3.0601E+1          62
   293 4.20863825867414E+63  2.8399360169645E+63   4.972395554496147E-1  4.44665593675269  3.0696E+1          62
   294 6.9388714177584E+63   4.6693992736915E+63   4.972280771459845E-1  4.45890593750852  3.0789E+1          62
   295 1.14402649011114E+64  7.67729946310978E+63  4.972165951753438E-1  4.4712410188841   3.0883E+1          62
   296 1.88618080849065E+64  1.26226622939133E+64  4.972051097120819E-1  4.483661715925    3.0978E+1          62
   297 3.1097864193449E+64   2.07533617500689E+64  4.971936209299899E-1  4.49616856746416  3.1072E+1          63
   298 5.12717101690833E+64  3.41209377786642E+64  4.971821290022619E-1  4.50876211615306  3.1166E+1          62
   299 8.45327591409397E+64  5.60981409705754E+64  4.971706341014957E-1  4.521442908493    3.126E+1           62
   300 1.39370958066638E+65  9.2229740573291E+64   4.971591363996941E-1  4.53421149486665  3.1354E+1          62
   301 2.29783863082322E+65  1.51631178487817E+65  4.971476360682656E-1  4.54706842956973  3.1448E+1          62
   302 3.7884954272747E+65   2.49287807683001E+65  4.971361332780254E-1  4.56001427084297  3.1542E+1          62
   303 6.24617299489796E+65  4.0983455206063E+65   4.971246281991965E-1  4.5730495809043   3.1636E+1          63
   304 1.0298198277161E+66   6.73769122100675E+65  4.971131210014107E-1  4.58617492598121  3.173E+1           62
   305 1.69788585494427E+66  1.10766552750279E+66  4.971016118537092E-1  4.59939087634329  3.1823E+1          62
   306 2.7993405242675E+66   1.82096323184046E+66  4.97090100924544E-1   4.61269800633509  3.1918E+1          63
   307 4.61533226629267E+66  2.99356514705258E+66  4.970785883817789E-1  4.62609689440917  3.2011E+1          62
   308 7.60939647878535E+66  4.92120266450613E+66  4.970670743926898E-1  4.63958812315931  3.2106E+1          63
   309 1.2545773831764E+67   8.09000492584331E+66  4.970555591239665E-1  4.653172279354    3.2199E+1          62
   310 2.06844841738225E+67  1.32990714729303E+67  4.97044042741713E-1   4.6668499539702   3.2292E+1          63
   311 3.41029490308413E+67  2.18619477511727E+67  4.970325254114492E-1  4.68062174222717  3.2387E+1          63
   312 5.62262574607503E+67  3.59377912438561E+67  4.97021007298111E-1   4.69448824362076  3.248E+1           62
   313 9.27014266474009E+67  5.90757043710315E+67  4.970094885660517E-1  4.70845006195775  3.2573E+1          63
   314 1.52838813937817E+68  9.71094361512935E+67  4.969979693790432E-1  4.72250780539046  3.2668E+1          62
   315 2.51988603527859E+68  1.59627956260969E+68  4.969864499002765E-1  4.7366620864517   3.2761E+1          62
   316 4.15458970610402E+68  2.62392532415036E+68  4.969749302923628E-1  4.75091352208981  3.2854E+1          63
   317 6.8497604194855E+68   4.31309461784365E+68  4.969634107173347E-1  4.76526273370404  3.2948E+1          63
   318 1.12933457028056E+69  7.08959615003826E+68  4.96951891336647E-1   4.77971034718015  3.3041E+1          63
   319 1.86195792775854E+69  1.16533020972348E+69  4.969403723111773E-1  4.79425699292624  3.3136E+1          63
   320 3.06984964064424E+69  1.91545304648536E+69  4.969288538012277E-1  4.80890330590884  3.3229E+1          62
   321 5.0613264003813E+69   3.14839354595834E+69  4.969173359665251E-1  4.82364992568922  3.3322E+1          64
   322 8.34471649426477E+69  5.17489466368349E+69  4.969058189662224E-1  4.83849749646003  3.3416E+1          63
   323 1.37581115820565E+70  8.50567947285431E+69  4.968943029588997E-1  4.85344666708205  3.3509E+1          63
   324 2.26832912100024E+70  1.39801396642569E+70  4.968827881025646E-1  4.86849809112137  3.3602E+1          63
   325 3.73984247074162E+70  2.29778297130272E+70  4.968712745546539E-1  4.88365242688667  3.3696E+1          63
   326 6.16595783057943E+70  3.77660446974296E+70  4.968597624720341E-1  4.89891033746686  3.3789E+1          63
   327 1.01659458295163E+71  6.20710367668421E+70  4.968482520110025E-1  4.91427249076893  3.3882E+1          63
   328 1.67608111259088E+71  1.02016753129902E+71  4.968367433272881E-1  4.92973955955607  3.3976E+1          63
   329 2.76339058174732E+71  1.67667541722073E+71  4.968252365760525E-1  4.94531222148609  3.4069E+1          63
   330 4.55606083137922E+71  2.75563377714147E+71  4.96813731911891E-1   4.96099115915004  3.4161E+1          64
   331 7.51167440329862E+71  4.52886114896369E+71  4.968022294888336E-1  4.97677706011117  3.4254E+1          63
   332 1.23846573672921E+72  7.44305994747122E+71  4.967907294603456E-1  4.9926706169441   3.4348E+1          63
   333 2.04188480317876E+72  1.2232325633904E+72   4.967792319793287E-1  5.00867252727432  3.4441E+1          64
   334 3.36649890732016E+72  2.01030317114078E+72  4.967677371981224E-1  5.0247834938179   3.4534E+1          63
   335 5.55041835628749E+72  3.30376455788999E+72  4.967562452685041E-1  5.04100422442155  3.4627E+1          63
   336 9.15109280529563E+72  5.42939740991493E+72  4.967447563416909E-1  5.05733543210287  3.472E+1           63
   337 1.50876013582418E+73  8.92255397475346E+72  4.967332705683399E-1  5.07377783509099  3.4813E+1          63
   338 2.48752492831774E+73  1.46629633267099E+73  4.967217880985496E-1  5.09033215686739  3.4906E+1          63
   339 4.10123526071427E+73  2.40962425783374E+73  4.967103090818603E-1  5.10699912620709  3.4999E+1          64
   340 6.761793810485E+73    3.95978786198424E+73  4.966988336672559E-1  5.12377947722004  3.5092E+1          63
   341 1.11483132834351E+74  6.50713070583729E+73  4.966873620031638E-1  5.1406739493929   3.5184E+1          64
   342 1.83804612428282E+74  1.0693063823679E+74   4.966758942374567E-1  5.15768328763103  3.5278E+1          63
   343 3.03042574163302E+74  1.757153928841E+74    4.966644305174532E-1  5.17480824230082  3.537E+1           64
   344 4.99632737950758E+74  2.88743674383755E+74  4.966529709899185E-1  5.1920495692723   3.5463E+1          63
   345 8.23755122597558E+74  4.7447154652492E+74   4.96641515801066E-1   5.20940802996203  3.5556E+1          64
   346 1.35814259247478E+75  7.79655763796559E+74  4.966300650965574E-1  5.22688439137635  3.5649E+1          63
   347 2.23919858085699E+75  1.28112245092564E+75  4.966186190215044E-1  5.24447942615486  3.5741E+1          64
   348 3.69181432958047E+75  2.1051033381553E+75   4.966071777204691E-1  5.26219391261429  3.5834E+1          63
   349 6.08677281265485E+75  3.45900531795924E+75  4.965957413374653E-1  5.28002863479256  3.5927E+1          64
   350 1.00353918061433E+76  5.68360743263863E+75  4.965843100159592E-1  5.29798438249328  3.602E+1           63
   351 1.65455639305982E+76  9.33881890079405E+75  4.965728838988704E-1  5.31606195133047  3.6112E+1          64
   352 2.72790231881061E+76  1.53445752826638E+76  4.965614631285728E-1  5.33426214277365  3.6204E+1          64
   353 4.49755057741526E+76  2.52123212275308E+76  4.965500478468959E-1  5.3525857641932   3.6298E+1          64
   354 7.41520730303418E+76  4.14253164459735E+76  4.965386381951249E-1  5.3710336289061   3.639E+1           64
   355 1.22256100071634E+77  6.8063438166194E+76   4.965272343140027E-1  5.38960655622189  3.6482E+1          64
   356 2.01566232660946E+77  1.11829653777223E+77  4.9651583634373E-1    5.40830537148911  3.6574E+1          64
   357 3.32326535242993E+77  1.83736368440909E+77  4.965044444239665E-1  5.4271309061419   3.6667E+1          64
   358 5.47913827473198E+77  3.018758213961E+77    4.964930586938319E-1  5.44608399774707  3.676E+1           64
   359 9.03357181865782E+77  4.95971347300113E+77  4.964816792919068E-1  5.46516549005137  3.6852E+1          63
   360 1.48938420078184E+78  8.148541928686E+77    4.964703063562337E-1  5.48437623302922  3.6944E+1          64
   361 2.45557941207373E+78  1.33874629963103E+78  4.964589400243176E-1  5.5037170829307   3.7037E+1          64
   362 4.04856600857927E+78  2.19943801498609E+78  4.964475804331275E-1  5.52318890232987  3.7129E+1          64
   363 6.67495689417816E+78  3.61343493112288E+78  4.964362277190967E-1  5.54279256017352  3.7221E+1          64
   364 1.1005143412438E+79   5.93640908205703E+78  4.964248820181243E-1  5.56252893183014  3.7314E+1          64
   365 1.81444140311919E+79  9.75264636878838E+78  4.964135434655754E-1  5.58239889913933  3.7406E+1          64
   366 2.9915081357616E+79   1.60219809163728E+79  4.964022121962831E-1  5.60240335046153  3.7499E+1          64
   367 4.93216309490263E+79  2.63211598971978E+79  4.963908883445483E-1  5.62254318072808  3.759E+1           64
   368 8.13176220512814E+79  4.32403220877908E+79  4.963795720441413E-1  5.64281929149167  3.7682E+1          65
   369 1.34070093158701E+80  7.10342670758939E+79  4.963682634283027E-1  5.66323259097714  3.7774E+1          63
   370 2.21044214355499E+80  1.16692240255109E+80  4.963569626297439E-1  5.68378399413258  3.7867E+1          65
   371 3.6444029797311E+80   1.9169515866031E+80   4.963456697806485E-1  5.70447442268089  3.7959E+1          64
   372 6.00860471168559E+80  3.14901992798284E+80  4.963343850126729E-1  5.72530480517165  3.8051E+1          64
   373 9.90651439538504E+80  5.17290822948671E+80  4.963231084569475E-1  5.7462760770333   3.8143E+1          64
   374 1.63330810021683E+81  8.49746222898801E+80  4.963118402440773E-1  5.76738918062585  3.8236E+1          64
   375 2.6928698064343E+81   1.39585022095897E+81  4.963005805041429E-1  5.78864506529376  3.8328E+1          65
   376 4.43979172909438E+81  2.29289151931618E+81  4.962893293667019E-1  5.81004468741937  3.8419E+1          64
   377 7.3199790612364E+81   3.76637285926725E+81  4.962780869607889E-1  5.83158901047659  3.8511E+1          64
   378 1.206860517934E+82    6.18668827966732E+81  4.962668534149173E-1  5.85327900508504  3.8603E+1          65
   379 1.98977660668596E+82  1.0162212686514E+82   4.962556288570798E-1  5.87511564906451  3.8696E+1          64
   380 3.28058701538467E+82  1.66921951223823E+82  4.962444134147493E-1  5.89709992748989  3.8788E+1          65
   381 5.40877359264735E+82  2.7417872737021E+82   4.962332072148798E-1  5.91923283274639  3.8879E+1          64
