
C0 = 0.4995   Ce = 0.4933   Ci = 0.5   C6 = -3.6319444444444444444444444E-4   C5 = 4.4324074074074074074E-3   C4 = -2.02606481481481481481E-2   C3 = 4.10768518518518518519E-2   C2 = -3.10854166666666666667E-2   zi = 3.0   ze = 1.0   J = 874496
     t M                     N                     C                     k                 R
   260 2.87264955081783E+56  2.16821289539171E+56  4.97615114856517E-1   3.98048624528766  2.7568E+1           8
   261 4.73619841770053E+56  3.56667466112952E+56  4.976038593770567E-1  3.98953046291167  2.7662E+1           8
   262 7.80867107351915E+56  5.86705523761316E+56  4.97592594133646E-1   3.9986402780719   2.7758E+1           7
   263 1.28743220948118E+57  9.65099211547987E+56  4.975813193209615E-1  4.00781608481136  2.7853E+1           8
   264 2.12261686835609E+57  1.58751867746327E+57  4.975700351330486E-1  4.0170582797943   2.7949E+1           8
   265 3.49960358040558E+57  2.61132436669582E+57  4.975587417633238E-1  4.02636726232939  2.8043E+1           7
   266 5.769870862033E+57    4.29534339808517E+57  4.975474394045746E-1  4.03574343439284  2.8139E+1           8
   267 9.5129088194267E+57   7.065290866439E+57    4.975361282489612E-1  4.04518720065183  2.8233E+1           8
   268 1.56841351168196E+58  1.16213688358413E+58  4.975248084880172E-1  4.05469896848804  2.8329E+1           7
   269 2.58587671796354E+58  1.91152333372934E+58  4.975134803126506E-1  4.06427914802122  2.8424E+1           8
   270 4.26338994831472E+58  3.14410469172959E+58  4.975021439131447E-1  4.07392815213305  2.8519E+1           8
   271 7.0291416930756E+58   5.17141589616445E+58  4.974907994791594E-1  4.08364639649104  2.8614E+1           7
   272 1.15890954241389E+59  8.50583595376684E+58  4.974794471997318E-1  4.09343429957259  2.8709E+1           8
   273 1.91071881339513E+59  1.3990060889048E+59   4.974680872632777E-1  4.10329228268924  2.8803E+1           8
   274 3.15024274997145E+59  2.30100344694308E+59  4.974567198575919E-1  4.113220770011    2.8899E+1           7
   275 5.1938722297468E+59   3.78451292702732E+59  4.974453451698497E-1  4.12322018859093  2.8993E+1           8
   276 8.56324762248225E+59  6.22440399644123E+59  4.974339633866079E-1  4.13329096838969  2.9089E+1           8
   277 1.41184085014588E+60  1.0237186275877E+60   4.974225746938054E-1  4.14343354230049  2.9183E+1           8
   278 2.32773204047886E+60  1.68367587392613E+60  4.974111792767646E-1  4.15364834617394  2.9278E+1           7
   279 3.83778132762771E+60  2.76905396059716E+60  4.973997773201921E-1  4.16393581884325  2.9372E+1           8
   280 6.32743170715559E+60  4.55406676698407E+60  4.973883690081798E-1  4.17429640214945  2.9468E+1           8
   281 1.04321712444898E+61  7.48966529079395E+60  4.97376954524206E-1   4.18473054096685  2.9562E+1           7
   282 1.71997426303766E+61  1.2317440271502E+61   4.973655340511359E-1  4.19523868322864  2.9657E+1           8
   283 2.83575815252697E+61  2.02569267074627E+61  4.973541077712234E-1  4.20582127995259  2.9751E+1           8
   284 4.67537478463252E+61  3.33136088729536E+61  4.973426758661112E-1  4.216478785267    2.9846E+1           7
   285 7.70838985591866E+61  5.47854003688663E+61  4.973312385168325E-1  4.22721165643678  2.994E+1            8
   286 1.27089863183022E+62  9.00954847626723E+61  4.973197959038116E-1  4.23802035388963  3.0034E+1           8
   287 2.09535760720217E+62  1.48161798081375E+62  4.973083482068647E-1  4.24890534124246  3.0129E+1           8
   288 3.45466065671755E+62  2.43648913090521E+62  4.972968956052016E-1  4.259867085328    3.0223E+1           7
   289 5.69577250778109E+62  4.00670842751098E+62  4.972854382774258E-1  4.27090605622149  3.0318E+1           8
   290 9.3907412866477E+62   6.58879539482981E+62  4.97273976401536E-1   4.28202272726755  3.0412E+1           8
   291 1.54827149069379E+63  1.08347606570491E+63  4.972625101549272E-1  4.29321757510732  3.0507E+1           8
   292 2.55266813952546E+63  1.78167152749372E+63  4.97251039714391E-1   4.30449107970567  3.0601E+1           8
   293 4.20863825867414E+63  2.92975276261268E+63  4.972395652561176E-1  4.31584372437862  3.0696E+1           8
   294 6.9388714177584E+63   4.8175842534249E+63   4.972280869556955E-1  4.32727599582093  3.0789E+1           8
   295 1.14402649011114E+64  7.92177816601577E+63  4.972166049881137E-1  4.33878838413387  3.0883E+1           7
   296 1.88618080849065E+64  1.30259991331223E+64  4.97205119527762E-1   4.35038138285319  3.0978E+1           8
   297 3.1097864193449E+64   2.1418764805739E+64   4.971936307484319E-1  4.36205548897721  3.1072E+1           8
   298 5.12717101690833E+64  3.52186582558485E+64  4.97182138823318E-1   4.37381120299517  3.1166E+1           8
   299 8.45327591409397E+64  5.79090175286747E+64  4.971706439250188E-1  4.38564902891568  3.126E+1            8
   300 1.39370958066638E+65  9.52170214973907E+64  4.971591462255374E-1  4.39756947429543  3.1354E+1           8
   301 2.29783863082322E+65  1.56558982801653E+65  4.971476458962829E-1  4.40957305026804  3.1448E+1           8
   302 3.7884954272747E+65   2.57416506662977E+65  4.971361431080709E-1  4.4216602715731   3.1542E+1           8
   303 6.24617299489796E+65  4.23243010791894E+65  4.971246380311251E-1  4.43383165658544  3.1636E+1           7
   304 1.0298198277161E+66   6.95886158841762E+65  4.971131308350777E-1  4.44608772734452  3.173E+1            8
   305 1.69788585494427E+66  1.14414640789924E+66  4.971016216889704E-1  4.45842900958408  3.1823E+1           8
   306 2.7993405242675E+66   1.88113517041198E+66  4.970901107612558E-1  4.47085603276193  3.1918E+1           8
   307 4.61533226629267E+66  3.09281115519653E+66  4.970785982197979E-1  4.48336933009     3.2011E+1           8
   308 7.60939647878535E+66  5.08489278667596E+66  4.970670842318734E-1  4.49596943856453  3.2106E+1           8
   309 1.2545773831764E+67   8.35997915407711E+66  4.970555689641726E-1  4.50865689899644  3.2199E+1           8
   310 2.06844841738225E+67  1.37443303465661E+67  4.970440525828E-1     4.52143225604202  3.2292E+1           8
   311 3.41029490308413E+67  2.25962812271304E+67  4.970325352532757E-1  4.53429605823364  3.2387E+1           7
   312 5.62262574607503E+67  3.71488481967529E+67  4.970210171405363E-1  4.54724885801086  3.248E+1            8
   313 9.27014266474009E+67  6.10729263359025E+67  4.970094984089358E-1  4.56029121175159  3.2573E+1           8
   314 1.52838813937817E+68  1.00403095304982E+68  4.969979792222463E-1  4.57342367980352  3.2668E+1           8
   315 2.51988603527859E+68  1.65059478428164E+68  4.969864597436593E-1  4.58664682651577  3.2761E+1           8
   316 4.15458970610402E+68  2.7134937762179E+68   4.969749401357868E-1  4.59996122027075  3.2854E+1           8
   317 6.8497604194855E+68   4.46079418375972E+68  4.969634205606616E-1  4.61336743351618  3.2948E+1           8
   318 1.12933457028056E+69  7.33314945903362E+68  4.96951901179739E-1   4.62686604279738  3.3041E+1           8
   319 1.86195792775854E+69  1.20549074961402E+69  4.969403821538973E-1  4.64045762878977  3.3136E+1           7
   320 3.06984964064424E+69  1.98167405193172E+69  4.969288636434389E-1  4.65414277633155  3.3229E+1           8
   321 5.0613264003813E+69   3.25758351557164E+69  4.969173458080913E-1  4.66792207445664  3.3322E+1           8
   322 8.34471649426477E+69  5.35493113547055E+69  4.969058288070079E-1  4.68179611642782  3.3416E+1           8
   323 1.37581115820565E+70  8.80252399691907E+69  4.96894312798769E-1   4.6957654997701   3.3509E+1           8
   324 2.26832912100024E+70  1.44695672195358E+70  4.968827979413832E-1  4.70983082630431  3.3602E+1           8
   325 3.73984247074162E+70  2.37847648839278E+70  4.968712843922874E-1  4.7239927021809   3.3696E+1           8
   326 6.16595783057943E+70  3.90964370873541E+70  4.968597723083488E-1  4.73825173791402  3.3789E+1           8
   327 1.01659458295163E+71  6.42644060845557E+70  4.96848261845865E-1   4.75260854841576  3.3882E+1           8
   328 1.67608111259088E+71  1.05632805459499E+71  4.968367531605656E-1  4.76706375303068  3.3976E+1           8
   329 2.76339058174732E+71  1.73628946424798E+71  4.968252464076126E-1  4.78161797557054  3.4069E+1           8
   330 4.55606083137922E+71  2.85391113830845E+71  4.968137417416019E-1  4.79627184434927  3.4161E+1           8
   331 7.51167440329862E+71  4.6908739665089E+71   4.968022393165639E-1  4.81102599221822  3.4254E+1           8
   332 1.23846573672921E+72  7.71013682811206E+71  4.967907392859643E-1  4.82588105660154  3.4348E+1           8
   333 2.04188480317876E+72  1.26725907467826E+72  4.967792418027056E-1  4.84083767953192  3.4441E+1           8
   334 3.36649890732016E+72  2.08287755084418E+72  4.967677470191274E-1  4.85589650768655  3.4534E+1           8
   335 5.55041835628749E+72  3.42339549347465E+72  4.967562550870078E-1  4.8710581924232   3.4627E+1           8
   336 9.15109280529563E+72  5.62659190965785E+72  4.967447661575644E-1  4.88632338981679  3.472E+1            8
   337 1.50876013582418E+73  9.24759430534088E+72  4.967332803814546E-1  4.9016927606959   3.4813E+1           8
   338 2.48752492831774E+73  1.51987240656964E+73  4.967217979087775E-1  4.91716697067983  3.4906E+1           8
   339 4.10123526071427E+73  2.4979313782387E+73   4.967103188890739E-1  4.93274669021569  3.4999E+1           8
   340 6.761793810485E+73    4.10533772116346E+73  4.96698843471328E-1   4.94843259461588  3.5092E+1           8
   341 1.11483132834351E+74  6.74702455240271E+73  4.96687371803968E-1   4.96422536409573  3.5184E+1           8
   342 1.83804612428282E+74  1.10884465599398E+74  4.966759040348668E-1  4.98012568381148  3.5278E+1           8
   343 3.03042574163302E+74  1.82231790807295E+74  4.966644403113435E-1  4.99613424389847  3.537E+1            8
   344 4.99632737950758E+74  2.99483291875072E+74  4.96652980780164E-1   5.01225173950958  3.5463E+1           8
   345 8.23755122597558E+74  4.92171061965441E+74  4.966415255875418E-1  5.028478870854    3.5556E+1           8
   346 1.35814259247478E+75  8.08825016957693E+74  4.966300748791394E-1  5.0448163432362   3.5649E+1           8
   347 2.23919858085699E+75  1.32919317185019E+75  4.966186288000687E-1  5.06126486709518  3.5741E+1           8
   348 3.69181432958047E+75  2.18432197713279E+75  4.966071874948926E-1  5.07782515804401  3.5834E+1           8
   349 6.08677281265485E+75  3.58955191532791E+75  4.96595751107625E-1   5.09449793690965  3.5927E+1           8
   350 1.00353918061433E+76  5.89873456986767E+75  4.965843197817328E-1  5.11128392977299  3.602E+1            9
   351 1.65455639305982E+76  9.69331896917932E+75  4.965728936601359E-1  5.12818386800924  3.6112E+1           8
   352 2.72790231881061E+76  1.59287314352271E+76  4.96561472885209E-1   5.14519848832853  3.6204E+1           8
   353 4.49755057741526E+76  2.61748929874736E+76  4.965500575987816E-1  5.1623285328168   3.6298E+1           8
   354 7.41520730303418E+76  4.30114101032306E+76  4.965386479421399E-1  5.17957474897708  3.639E+1            8
   355 1.22256100071634E+77  7.06768997113259E+76  4.965272440560268E-1  5.19693788977083  3.6482E+1           8
   356 2.01566232660946E+77  1.16135861700264E+77  4.965158460806435E-1  5.21441871365982  3.6574E+1           8
   357 3.32326535242993E+77  1.90831582375645E+77  4.965044541556504E-1  5.2320179846481   3.6667E+1           8
   358 5.47913827473198E+77  3.13566174619917E+77  4.964930684201676E-1  5.24973647232438  3.676E+1            8
   359 9.03357181865782E+77  5.15232462718943E+77  4.964816890127761E-1  5.26757495190464  3.6852E+1           8
   360 1.48938420078184E+78  8.46588346280043E+77  4.964703160715189E-1  5.28553420427507  3.6944E+1           8
   361 2.45557941207373E+78  1.39102973367084E+78  4.964589497339014E-1  5.30361501603526  3.7037E+1           8
   362 4.04856600857927E+78  2.28557566494536E+78  4.964475901368931E-1  5.32181817954177  3.7129E+1           9
   363 6.67495689417816E+78  3.75534515356707E+78  4.964362374169278E-1  5.34014449295189  3.7221E+1           8
   364 1.1005143412438E+79   6.1701991792977E+78   4.964248917099048E-1  5.3585947602678   3.7314E+1           8
   365 1.81444140311919E+79  1.01377967504867E+79  4.9641355315119E-1    5.37716979138101  3.7406E+1           8
   366 2.9915081357616E+79   1.66564732294716E+79  4.964022218756169E-1  5.39587040211705  3.7499E+1           8
   367 4.93216309490263E+79  2.73663955854774E+79  4.963908980174866E-1  5.41469741428056  3.759E+1            8
   368 8.13176220512814E+79  4.49621666680476E+79  4.963795817105702E-1  5.4336516557006   3.7682E+1           8
   369 1.34070093158701E+80  7.38706544298629E+79  4.963682730881084E-1  5.45273396027637  3.7774E+1           8
   370 2.21044214355499E+80  1.21364522048573E+80  4.963569722828133E-1  5.47194516802315  3.7867E+1           8
   371 3.6444029797311E+80   1.99391501958039E+80  4.963456794268689E-1  5.49128612511864  3.7959E+1           8
   372 6.00860471168559E+80  3.27579438849389E+80  4.96334394651932E-1   5.51075768394956  3.8051E+1           8
   373 9.90651439538504E+80  5.38172773732975E+80  4.963231180891334E-1  5.5303607031586   3.8143E+1           8
   374 1.63330810021683E+81  8.84141779527961E+80  4.963118498690787E-1  5.55009604769171  3.8236E+1           9
   375 2.6928698064343E+81   1.45250357340548E+81  4.963005901218489E-1  5.56996458884568  3.8328E+1           8
   376 4.43979172909438E+81  2.38620425124634E+81  4.962893389770019E-1  5.58996720431607  3.8419E+1           8
   377 7.3199790612364E+81   3.92006378738566E+81  4.96278096563573E-1   5.61010477824546  3.8511E+1           8
   378 1.206860517934E+82    6.43982061193957E+81  4.962668630100759E-1  5.6303782012721   3.8603E+1           8
   379 1.98977660668596E+82  1.05791195900323E+82  4.962556384445037E-1  5.65078837057876  3.8696E+1           8
   380 3.28058701538467E+82  1.73788249276612E+82  4.962444229943297E-1  5.67133618994205  3.8788E+1           8
   381 5.40877359264735E+82  2.85487053756964E+82  4.962332167865086E-1  5.69202256978203  3.8879E+1           8
   382 8.91756007059884E+82  4.68972699872705E+82  4.962220199474769E-1  5.71284842721213  3.8971E+1           9
   383 1.47025709711424E+83  7.70377947495873E+82  4.962108326031543E-1  5.7338146860895   3.9062E+1           8
   384 2.42404414941008E+83  1.2654799359024E+83   4.961996548789444E-1  5.7549222770656   3.9154E+1           8
   385 3.9965731502486E+83   2.0787479342615E+83   4.961884868997356E-1  5.77617213763725  3.9247E+1           9
   386 6.58923516272388E+83  3.41462917809713E+83  4.961773287899021E-1  5.79756521219794  3.9338E+1           8
   387 1.0863812170428E+84   5.60893513234883E+83  4.961661806733048E-1  5.81910245208957  3.943E+1            8
   388 1.79113982062757E+84  9.2132413061208E+83   4.96155042673292E-1   5.84078481565447  3.9521E+1           8
   389 2.95309032106669E+84  1.51335089296137E+84  4.961439149127007E-1  5.86261326828789  3.9613E+1           8
   390 4.86882282664132E+84  2.48577603002162E+84  4.961327975138572E-1  5.8845887824907   3.9706E+1           8
   391 8.02733175755387E+84  4.08300137421158E+84  4.96121690598578E-1   5.90671233792263  3.9797E+1           9
   392 1.32348326156457E+85  6.70644292084391E+84  4.961105942881712E-1  5.9289849214557   3.9888E+1           8
   393 2.18205500475709E+85  1.10153961409866E+85  4.960995087034365E-1  5.9514075272282   3.998E+1            8
   394 3.59760050018068E+85  1.80926921284943E+85  4.960884339646669E-1  5.97398115669885  4.0071E+1           8
   395 5.9314404681293E+85   2.97167599840623E+85  4.960773701916495E-1  5.99670681870153  4.0163E+1           9
   396 9.77929206569632E+85  4.88084386579209E+85  4.960663175036658E-1  6.01958552950022  4.0254E+1           9
   397 1.61233268411025E+86  8.01647742161504E+85  4.960552760194934E-1  6.04261831284444  4.0347E+1           8
   398 2.6582871917376E+86   1.31664118897833E+86  4.960442458574066E-1  6.06580620002498  4.0438E+1           8
   399 4.38277463664749E+86  2.16245217050007E+86  4.960332271351769E-1  6.08915022993009  4.0529E+1           8
   400 7.22597376812575E+86  3.55157343206577E+86  4.960222199700745E-1  6.11265144910202  4.0621E+1           8
   401 1.191361665303E+87    5.83297757142051E+86  4.96011224478869E-1   6.13631091179395  4.0712E+1           9
   402 1.9642233186818E+87   9.57976905579405E+86  4.960002407778301E-1  6.16012968002731  4.0803E+1           8
   403 3.23845676591587E+87  1.57331253390039E+87  4.959892689827288E-1  6.18410882364951  4.0894E+1           8
   404 5.33931255420825E+87  2.58386727089664E+87  4.959783092088381E-1  6.20824942039207  4.0987E+1           8
   405 8.80303817903937E+87  4.24346514998063E+87  4.95967361570934E-1   6.23255255592911  4.1078E+1           8
   406 1.45137562925675E+88  6.96893356864534E+87  4.959564261832962E-1  6.2570193239363   4.1169E+1           9
   407 2.39291387173139E+88  1.14447750424793E+88  4.959455031597094E-1  6.2816508261502   4.126E+1            8
   408 3.94524799927694E+88  1.87950486092286E+88  4.959345926134638E-1  6.30644817242791  4.1351E+1           8
   409 6.50461429459502E+88  3.08656130942851E+88  4.959236946573561E-1  6.33141248080734  4.1443E+1           8
   410 1.07242959451989E+89  5.06875885373219E+88  4.959128094036908E-1  6.35654487756766  4.1534E+1           9
   411 1.76813748381326E+89  8.32383811796633E+88  4.959019369642802E-1  6.38184649729034  4.1626E+1           8
   412 2.91516587908512E+89  1.36691308050639E+89  4.958910774504463E-1  6.40731848292051  4.1717E+1           8
   413 4.80629599246688E+89  2.24467493863889E+89  4.95880230973021E-1   6.43296198582879  4.1808E+1           9
   414 7.92424243606093E+89  3.68605071406937E+89  4.958693976423475E-1  6.4587781658735   4.1899E+1           8
   415 1.30648670585183E+90  6.05291325723961E+89  4.958585775682803E-1  6.48476819146336  4.199E+1            8
   416 2.15403242182485E+90  9.9394624148823E+89   4.958477708601875E-1  6.51093323962054  4.2081E+1           8
   417 3.55139907164034E+90  1.63213714500295E+90  4.958369776269503E-1  6.53727449604422  4.2172E+1           9
   418 5.8552671901581E+90   2.6800673934616E+90   4.958261979769649E-1  6.56379315517452  4.2263E+1           8
   419 9.65370356204625E+90  4.40078448065264E+90  4.958154320181426E-1  6.5904904202569   4.2354E+1           8
   420 1.59162664037792E+91  7.22619723038586E+90  4.958046798579115E-1  6.61736750340703  4.2446E+1           9
   421 2.62414869700407E+91  1.18654674595772E+91  4.957939416032166E-1  6.64442562567597  4.2537E+1           8
   422 4.32648977423063E+91  1.948297312935E+91    4.957832173605213E-1  6.67166601711602  4.2628E+1           8
   423 7.13317571824064E+91  3.19904945348658E+91  4.957725072358079E-1  6.69908991684678  4.2718E+1           9
   424 1.1760618534305E+92   5.25269308324342E+91  4.957618113345786E-1  6.72669857312185  4.2809E+1           8
   425 1.93899819340988E+92  8.6245898903222E+91   4.957511297618565E-1  6.75449324339582  4.29E+1             8
   426 3.19686756532399E+92  1.41608799946073E+92  4.957404626221865E-1  6.78247519439189  4.2991E+1           9
   427 5.270743554561E+92    2.32507732101823E+92  4.957298100196358E-1  6.8106457021698   4.3082E+1           8
   428 8.68998701081032E+92  3.81750779262561E+92  4.957191720577954E-1  6.83900605219429  4.3173E+1           8
   429 1.43273664268308E+93  6.26783918862497E+92  4.957085488397802E-1  6.86755753940402  4.3263E+1           9
   430 2.36218337810308E+93  1.02908475841286E+93  4.956979404682309E-1  6.89630146828096  4.3354E+1           8
   431 3.89458198077284E+93  1.68958420318487E+93  4.956873470453139E-1  6.92523915292024  4.3446E+1           8
   432 6.42108015218561E+93  2.77398389430135E+93  4.956767686727226E-1  6.95437191710046  4.3536E+1           9
   433 1.05865714277788E+94  4.55431889712322E+93  4.956662054516786E-1  6.98370109435451  4.3627E+1           8
   434 1.74543054967652E+94  7.47718889517124E+93  4.95655657482932E-1   7.01322802804083  4.3718E+1           8
   435 2.87772847378149E+94  1.22757684442144E+94  4.956451248667625E-1  7.0429540714152   4.3809E+1           9
   436 4.74457214602297E+94  2.01536842532896E+94  4.956346077029804E-1  7.07288058770299  4.3899E+1           8
   437 7.82247701751942E+94  3.30868670405315E+94  4.956241060909275E-1  7.10300895017182  4.399E+1            8
   438 1.28970842483472E+95  5.43190646105506E+94  4.956136201294777E-1  7.13334054220489  4.408E+1            9
   439 2.12636971302615E+95  8.91752563200916E+94  4.956031499170381E-1  7.16387675737463  4.4171E+1           8
   440 3.50579097523875E+95  1.46396907946542E+95  4.955926955515499E-1  7.19461899951694  4.4262E+1           9
   441 5.78007215150467E+95  2.40333827410557E+95  4.955822571304891E-1  7.22556868280588  4.4352E+1           8
   442 9.5297279023672E+95   3.9454211606478E+95   4.955718347508675E-1  7.2567272318289   4.4443E+1           8
   443 1.57118650966173E+96  6.47690177966734E+95  4.955614285092336E-1  7.28809608166258  4.4533E+1           9
   444 2.59044861871639E+96  1.06325328889109E+96  4.955510385016733E-1  7.31967667794879  4.4624E+1           8
   445 4.27092773833348E+96  1.74542682974048E+96  4.95540664823811E-1   7.35147047697152  4.4714E+1           8
   446 7.0415694078136E+96   2.86524693239845E+96  4.955303075708105E-1  7.38347894573404  4.4806E+1           9
   447 1.16095852617736E+97  4.70346556020956E+96  4.955199668373753E-1  7.41570356203675  4.4896E+1           8
   448 1.91409701650928E+97  7.72092601750845E+96  4.955096427177503E-1  7.44814581455539  4.4986E+1           9
   449 3.1558124653025E+97   1.26740767122778E+97  4.954993353057221E-1  7.48080720291993  4.5077E+1           8
   450 5.20305513788485E+97  2.08045725346515E+97  4.954890446946202E-1  7.51368923779382  4.5167E+1           9
   451 8.57838767845635E+97  3.4150478620227E+97   4.954787709773176E-1  7.54679344095393  4.5258E+1           8
   452 1.41433702337829E+98  5.60570619974578E+97  4.954685142462317E-1  7.58012134537089  4.5348E+1           8
   453 2.33184753438249E+98  9.20151666248305E+97  4.954582745933255E-1  7.61367449529007  4.5438E+1           9
   454 3.84456662996605E+98  1.51037245293454E+98  4.954480521101079E-1  7.64745444631299  4.5529E+1           8
   455 6.33861877944894E+98  2.47915829427257E+98  4.954378468876352E-1  7.68146276547939  4.5619E+1           9
   456 1.04506156085368E+99  4.06930299604772E+98  4.954276590165114E-1  7.71570103134972  4.5709E+1           8
   457 1.72301522457053E+99  6.67930655037416E+98  4.954174885868895E-1  7.7501708340883   4.58E+1             8
   458 2.84077185048959E+99  1.0963224531863E+99   4.954073356884719E-1  7.78487377554692  4.589E+1            9
   459 4.68364097510836E+99  1.79945435063687E+99  4.953972004105119E-1  7.81981146934906  4.598E+1            8
   460 7.72201849998384E+99  2.95351348980188E+99  4.95387082841814E-1   7.85498554097463  4.607E+1            9
   461 1.2731456153663E+100  4.84766602104158E+99  4.953769830707349E-1  7.89039762784534  4.616E+1            8
   462 2.099062256753E+100   7.95649950015785E+99  4.953669011851846E-1  7.9260493794105   4.6251E+1           9
   463 3.4607685912326E+100  1.30589124835E+100    4.95356837272627E-1   7.9619424572335   4.6341E+1           8
   464 5.705842789336E+100   2.1433229489804E+100  4.953467914200808E-1  7.99807853507886  4.6431E+1           8
   465 9.4073443740494E+100  3.5177409605475E+100  4.953367637141204E-1  8.03445929899972  4.6521E+1           9
   466 1.5510088770296E+101  5.7734544564144E+100  4.95326754240877E-1   8.07108644742608  4.6611E+1           8
   467 2.5571813266035E+101  9.4755251273186E+100  4.953167630860388E-1  8.10796169125347  4.6701E+1           9
   468 4.2160792462083E+101  1.5551292636564E+101  4.953067903348527E-1  8.14508675393233  4.6791E+1           8
   469 6.951139532181E+101   2.5522626837867E+101  4.952968360721244E-1  8.18246337155784  4.6882E+1           9
   470 1.1460491602311E+102  4.188706460849E+101   4.952869003822199E-1  8.22009329296044  4.6972E+1           8
   471 1.8895156277411E+102  6.874326723086E+101   4.952769833490657E-1  8.25797827979689  4.7062E+1           9
   472 3.115284606777E+102   1.1281740535887E+102  4.952670850561503E-1  8.29612010664196  4.7152E+1           8
   473 5.136235995478E+102   1.851474557613E+102   4.952572055865246E-1  8.33452056108066  4.7242E+1           9
   474 8.4682215370803E+102  3.0384710377339E+102  4.952473450228029E-1  8.3731814438011   4.7332E+1           8
   475 1.3961736973185E+103  4.986412164147E+102   4.952375034471638E-1  8.412104568688    4.7422E+1           9
   476 2.301901272361E+103   8.1830833266275E+102  4.952276809413511E-1  8.4512917629167   4.7512E+1           8
   477 3.7951935907934E+103  1.3428933090791E+103  4.952178775866744E-1  8.49074486704787  4.7602E+1           8
   478 6.2572163995659E+103  2.2037472887764E+103  4.952080934640103E-1  8.5304657351228   4.7691E+1           9
   479 1.0316405773338E+104  3.6164113616535E+103  4.951983286538027E-1  8.57045623475928  4.7781E+1           8
   480 1.7008877635676E+104  5.9345749673283E+103  4.951885832360645E-1  8.61071824724817  4.7871E+1           9
   481 2.8042898348674E+104  9.7386147411504E+103  4.951788572903776E-1  8.65125366765046  4.7961E+1           8
   482 4.6234922999541E+104  1.5980874059534E+104  4.951691508958942E-1  8.69206440489513  4.8051E+1           9
   483 7.6228500998526E+104  2.6224043657242E+104  4.951594641313377E-1  8.73315238187749  4.8141E+1           8
   484 1.2567955102986E+105  4.3032302562883E+104  4.951497970750031E-1  8.77451953555821  4.8231E+1           9
   485 2.0721054907497E+105  7.061310591954E+104   4.951401498047585E-1  8.816167817063    4.832E+1            8
   486 3.4163243977335E+105  1.158702266423E+105   4.951305223980453E-1  8.85809919178287  4.841E+1            9
   487 5.632566702155E+105   1.901315635807E+105   4.951209149318795E-1  8.9003156394751   4.85E+1             8
   488 9.2865325304802E+105  3.1198406530863E+105  4.951113274828523E-1  8.94281915436484  4.859E+1            9
   489 1.5310903714051E+106  5.1192512448639E+105  4.95101760127131E-1   8.98561174524725  4.868E+1            8
   490 2.5243412626998E+106  8.3999427015312E+105  4.950922129404601E-1  9.02869543559046  4.8769E+1           9
   491 4.1619351343192E+106  1.3782946131636E+106  4.950826859981616E-1  9.07207226363908  4.8859E+1           8
   492 6.8618709832263E+106  2.2615367991986E+106  4.950731793751362E-1  9.11574428251834  4.8949E+1           9
   493 1.1313312646845E+107  3.7107451862665E+106  4.950636931458643E-1  9.15971356033899  4.9038E+1           8
   494 1.8652499202934E+107  6.0885585851024E+106  4.950542273844064E-1  9.20398218030278  4.9128E+1           9
   495 3.0752772187595E+107  9.9899597240538E+106  4.950447821644042E-1  9.24855224080865  4.9218E+1           9
   496 5.0702749638683E+107  1.6391129665106E+107  4.950353575590816E-1  9.29342585555952  4.9307E+1           8
   497 8.359470181228E+107   2.6893662096055E+107  4.95025953641245E-1   9.33860515366989  4.9397E+1           9
   498 1.3782436299574E+108  4.4125223729074E+107  4.950165704832849E-1  9.38409227977392  4.9487E+1           8
   499 2.2723395889177E+108  7.2396875681479E+107  4.950072081571759E-1  9.42988939413441  4.9576E+1           9
   500 3.7464546145027E+108  1.1878146162437E+108  4.949978667344782E-1  9.47599867275226  4.9666E+1           8
   501 6.1768594126432E+108  1.948827733187E+108   4.94988546286338E-1   9.52242230747674  4.9754E+1           9
   502 1.0183919499749E+109  3.1973795459493E+108  4.94979246883489E-1   9.5691625061164   4.9844E+1           8
   503 1.6790444698334E+109  5.245789958487E+108   4.94969968596252E-1   9.61622149255071  4.9934E+1           9
   504 2.7682763318658E+109  8.6064405993519E+108  4.949607114945372E-1  9.66360150684232  5.0023E+1           9
   505 4.5641160715228E+109  1.4119920003707E+109  4.949514756478438E-1  9.7113048053501   5.0113E+1           8
   506 7.524955249064E+109   2.3165244503683E+109  4.949422611252616E-1  9.75933366084283  5.0202E+1           9
   507 1.2406553780198E+110  3.800472037991E+109   4.949330679954715E-1  9.80769036261361  5.0292E+1           8
   508 2.0454949113498E+110  6.234967655668E+109   4.949238963267464E-1  9.85637721659496  5.0381E+1           9
   509 3.3724509694513E+110  1.0228851832228E+110  4.949147461869523E-1  9.90539654547469  5.047E+1            9
   510 5.5602316477277E+110  1.6780913532303E+110  4.949056176435484E-1  9.95475068881237  5.056E+1            8
   511 9.1672721876286E+110  2.7529628431017E+110  4.948965107635887E-1  1.00044420032E+1  5.0649E+1           9
   512 1.5114276650041E+111  4.5162829968533E+110  4.948874256137226E-1  1.00544728622E+1  5.0739E+1           9
   513 2.4919229404169E+111  7.4089728398822E+110  4.948783622601955E-1  1.01048456567E+1  5.0828E+1           8
   514 4.1084863568109E+111  1.2154327226677E+111  4.948693207688496E-1  1.0155562795E+1   5.0917E+1           9
   515 6.7737488468555E+111  1.993884156844E+111   4.948603012051254E-1  1.02066267028E+1  5.1007E+1           9
   516 1.1168023806191E+112  3.2708829748415E+111  4.948513036340615E-1  1.02580398233E+1  5.1096E+1           8
